enzyme_id,ec_number,ph_opt,temp_opt,vmax,km,ph_samples,temp_samples,activity_samples
E1,4.1.15.11,8.118764001091076,45.88975552812704,228.45804889825965,0.5088748299318344,"[6.509993689295374, 7.7245212611203335, 8.432827801413044, 7.375416267546629, 8.18262945086364]","[44.77314001652752, 46.045308314410924, 42.89520513290362, 42.16703365659944, 45.06742701572759]","[0.5628454355559941, 1.3558073687500924, 1.3239804547020686, 0.9544329604518382, 1.4892127919521627]"
E2,4.4.15.15,7.473544037332349,38.3861696943507,491.7831340453262,2.33914683730742,"[7.80715292506289, 8.139513523029274, 7.23882472024542, 7.44967318184455, 7.549644664786058]","[43.03875009359966, 37.40464021285164, 38.15381589388488, 33.14263403024721, 32.93749564471444]","[1.2189777973344085, 1.1322345981142308, 1.445857388055942, 1.2879360244038638, 1.2703486255739946]"
E3,4.3.44.8,5.137554084460874,56.826214072757374,136.8021909840083,3.31598619892637,"[5.304644960464678, 3.5698179853570533, 4.075005245342129, 5.295043073156172, 5.728327348457202]","[58.025792041087165, 56.01667609603969, 54.718488203632354, 46.476560140185384, 51.787304613994415]","[1.4582820057163906, 0.5791126606656629, 0.7808445352653317, 1.034194158990951, 1.0062893247679412]"
E4,5.4.26.13,5.563696899899051,53.07689432639139,46.5298154030877,4.934565813636581,"[5.022159299654284, 6.053037930971745, 6.3884965178958115, 6.30872099519201, 4.89232288132094]","[50.91240769543289, 55.39573834621634, 59.905710216247904, 49.72267466147436, 51.77728148974467]","[1.201103905585722, 1.236076932240588, 0.7032217337543837, 0.9732891044473532, 1.1205466729420428]"
E5,6.4.37.3,7.365191150830908,34.61526275465225,285.0092786653736,1.9208051050214114,"[6.618180878101268, 7.992557700954059, 6.87329054329706, 7.631505103222052, 6.260617531413106]","[32.649618713964976, 34.19654190902057, 41.343479119580735, 47.17522865571235, 38.68008954676243]","[1.0351562642690748, 1.1728812145048289, 0.9872772238305214, 0.9528515352884936, 0.654503567440252]"
E6,5.3.39.13,7.1593643652066925,32.10714286571693,471.9982495734107,2.9983386777777947,"[7.723349414272869, 7.448103067279601, 5.985790057063071, 7.873467942411622, 7.075158658005749]","[25.419717752692996, 29.203790424878665, 22.315956694475926, 29.6985790765377, 37.36264406484288]","[0.931964864873293, 1.3424386336120395, 0.3257628693311252, 1.0457563645440144, 1.2807161878726219]"
E7,4.1.39.1,6.088528997538541,47.66915421894768,10.254984727704752,1.7693185931075035,"[5.3922850338896815, 5.683214421833322, 5.040568447768561, 8.443459730723568, 5.211516361313456]","[54.07334447242977, 43.00672987733468, 44.07264177838996, 49.77841382559512, 37.45953577204038]","[0.8360033606930132, 1.1722132027366388, 0.7194917447474376, 0.46133636824397956, 0.5255768387899169]"
E8,4.1.49.12,6.007129183301457,42.40369770623349,157.43037181021714,1.4313540669435634,"[6.08900732934119, 5.661041758863046, 5.479783341352274, 6.010279026846579, 6.389332462848278]","[40.59049719306125, 38.38073325293969, 39.4532101638543, 44.782444455539995, 42.35203665662148]","[1.461499017996958, 1.2488577825823384, 1.1773291845137193, 1.4464900678898138, 1.3640624497450085]"
E9,4.3.11.17,7.912865394447438,37.87240964517386,319.82985699085395,3.1713132566968647,"[7.208352739623622, 7.974381353315096, 7.518119408684777, 8.651395481121, 9.278149357390209]","[43.987535554621516, 37.936420065354824, 35.313634567346064, 42.4160167735776, 29.312294888446715]","[0.8454366929533534, 1.4961819662559108, 1.294341755932647, 0.9104628473566052, 0.2705310736980625]"
E10,4.1.33.8,6.54694138520215,57.78554960578571,77.38526263153669,1.71192109174079,"[6.261545364587595, 6.991838824029322, 7.382029873937076, 6.9680999142699065, 7.638050604735834]","[75.55968861967104, 55.514112900983456, 56.344482586117174, 47.70525947199913, 66.12064039858119]","[0.9226793911069772, 1.2714026919246575, 0.9775502628644244, 0.9029865920874156, 0.42866639452185323]"
E11,3.3.48.16,8.58844103981031,56.0480248492791,392.1390174702357,3.213737914309896,"[8.76947165540941, 9.266362185871621, 8.728307449403486, 7.614957125922918, 9.427918953667001]","[65.3237644798785, 61.18953230343942, 49.36654401554916, 50.789768876631605, 48.13502847743539]","[1.057221749297473, 0.9262354282442431, 1.1853723039752315, 0.675257877624772, 0.6371672125256568]"
E12,4.4.8.7,7.883759697008517,35.78212771483362,275.84471297190066,2.5489822434254124,"[6.828903568402027, 8.460069490639075, 8.13647242273037, 7.931184724251073, 8.61216947180425]","[35.57405021102189, 22.22749424494142, 29.850625018045115, 45.33316184607585, 43.98633004146443]","[0.8282305263887441, 0.730072177413235, 1.1855197640808164, 1.078406961773409, 0.7183796003463327]"
E13,1.1.48.19,7.288016796836732,51.89939050072081,31.365848159672538,4.972807048878732,"[5.861415947104313, 7.09350922851112, 7.549795505929425, 7.693277038174758, 7.185932961411633]","[54.29052614236183, 66.73159398633075, 62.72514778902138, 45.252757184468805, 47.72110917978154]","[0.5766282532010467, 0.9690129151312532, 0.9817416348427058, 1.055197410950695, 1.342272894958349]"
E14,1.4.3.18,7.227205049833401,57.765417095627335,351.05460037073675,2.8546052387459313,"[7.4119680281895075, 6.580055536721112, 8.073143856923302, 7.2682937374171095, 7.9251627759617636]","[65.2288069043115, 51.052360420639886, 67.43944932483093, 64.10127081532325, 53.538086488235635]","[1.1305532463991883, 0.8608543134835951, 0.5658206047407861, 1.222335813913095, 0.9641220049441231]"
E15,3.2.25.13,5.326376721600962,25.18147019708954,317.6682633248317,0.9794270280250909,"[5.194129029958112, 4.776636581334953, 5.381057722484025, 4.998849657143715, 6.838014846502229]","[20.45083705753976, 18.787582435832633, 21.996237979176577, 22.292138904758794, 29.350975759719788]","[1.302249844692851, 0.9599167296926092, 1.4051886410062446, 1.3213942691611062, 0.4549259382513452]"
E16,2.2.15.11,5.508242050607539,43.27851410191815,387.2968410183193,1.0869469272092476,"[4.9239487452338295, 5.6814089222731186, 5.54469952253059, 4.986961772522885, 7.223397322067799]","[47.715947258144226, 29.102515995314896, 44.58369430530414, 38.64600884853943, 49.24554744549172]","[1.0480144758049474, 0.9794422372124598, 1.4819237039798716, 1.087571777580933, 0.298076918350642]"
